Error_PEHE,Error_ATE,MSE_0,MSE_1,Feature,Iteration
0.00592272178354325,-0.00027850642800331116,0.002077766759801425,0.017059450903237128,X1,0
0.008719702805361718,-0.0009240023791790009,0.011157702150950688,0.02790043414905652,X1,1
0.023399924622535373,-0.0019233673810958862,0.006020087562630727,0.0569797214741794,X1,2
0.006150300486522986,-0.0028090476989746094,-0.005768260469432129,0.004540329459578496,X1,3
0.02333041345025544,-0.0013636238873004913,0.024298798948151124,0.10433204955562014,X1,4
0.010103949888093933,-0.0026473887264728546,-0.01629257321730826,-0.004262450843631971,X1,5
0.028423880110951427,-0.0026127099990844727,0.04767949914849445,0.11922859385839146,X1,6
0.019306996673162713,-0.0005104541778564453,0.03679438578722316,0.12029818300688833,X1,7
0.026627296876523987,-0.004999261349439621,0.0366289125125937,0.13109460853579336,X1,8
0.025693333600000923,-0.0034858733415603638,-0.022896399557605807,0.032173951404264045,X1,9
0.03849666402122065,-0.0016030780971050262,0.006991243311323947,0.08870057480149796,X1,10
0.017803010005442044,-0.004631590098142624,0.03313244539030291,0.10441371595910498,X1,11
0.02698240628611248,-0.003391120582818985,0.02483711714465442,0.1143899151992962,X1,12
0.025692365365607706,-0.003844697028398514,0.051580455581786144,0.14163161372388533,X1,13
0.018258173187736038,-0.00378413125872612,0.014087091405480034,0.057920043000823096,X1,14
0.04033509908191246,-0.002062704414129257,0.029830091139396497,0.15142101168330213,X1,15
0.037827039051182565,-0.003585774451494217,0.024645922468118253,0.09480006173856337,X1,16
0.020345613343624502,-0.003464214503765106,0.028707132711075722,0.09562825644318274,X1,17
0.013424788784504926,-0.0006176978349685669,0.015233730410810442,0.04041103613252983,X1,18
0.0160343015759582,-0.0026944950222969055,0.004056410827469659,0.05963104843701217,X1,19
0.0306958080564691,-0.001973956823348999,-0.015975780403795325,0.06042013222028508,X1,20
0.010942069792834852,-0.004779648035764694,0.013600537327881357,0.0613953620096066,X1,21
0.03979045946670978,-0.005189191550016403,-0.015052849279442948,0.058980132197440804,X1,22
0.01650173141344935,0.0010174848139286041,0.004421806350144664,0.05020761209893232,X1,23
0.0004995833115328807,-0.0019479580223560333,0.048296719834837964,0.04609795856611232,X1,24
0.020743517679906676,-0.002539627254009247,0.040355908667737306,0.07690374891535945,X1,25
0.027882764214015476,-0.004247542470693588,0.024178546390938305,0.1095137770509631,X1,26
-0.0028358838792457153,-0.0005114004015922546,0.044225783186088274,0.07053497821603494,X1,27
0.026449507855363708,-0.0016141198575496674,-0.0005035882203114905,0.04022883749570605,X1,28
0.03799793754877523,-0.0009233355522155762,0.01556164597147458,0.10008107840489822,X1,29
0.02886524222893161,-0.0015102550387382507,0.017977579513794528,0.059538079012083855,X1,30
0.015167530029922327,-0.0012581199407577515,-0.022354010556754123,-0.011334842454005845,X1,31
0.018993778376781623,-0.0027130544185638428,0.02272302710108043,0.08697569585031584,X1,32
0.009864864272213558,-0.0013258233666419983,0.034337885589575845,0.08729615984299155,X1,33
0.04302549818720569,-0.002591140568256378,0.030532225086211562,0.13452349644307726,X1,34
0.009507760190361925,-0.003674842417240143,0.01872317827847525,0.04704661025974577,X1,35
0.010437108961023567,0.0008286014199256897,-0.01320204857607521,-0.003846665811582106,X1,36
0.0006501617950945837,0.0035423673689365387,0.006829028084429312,0.02150719956331315,X1,37
0.028272491456899362,-0.0009029954671859741,-0.014378189816144027,0.04967192576625035,X1,38
0.01933459038462393,-0.002359498292207718,0.016794853488957817,0.08277994927054677,X1,39
0.03785730934430087,-0.0010174550116062164,0.010025565583668739,0.08529404734718904,X1,40
0.021148213571422603,0.0011660382151603699,0.004912229930303158,0.047362999804289485,X1,41
0.016217436459009305,-0.00033508986234664917,0.008056780579356437,0.0538799681046771,X1,42
0.03149420982112927,0.00033914297819137573,-0.0024402278468090843,0.06778615310491043,X1,43
0.024375495664631375,-0.004289932548999786,0.011778323126112267,0.05764633838287958,X1,44
0.009633155256260961,-0.005556855350732803,-0.0030653739250225964,0.009277974690970137,X1,45
0.01233247927228276,0.00024240463972091675,-0.007115744877523644,0.02210308786518045,X1,46
0.011394480831750431,-0.0027465932071208954,-0.006991473895846423,0.025867014211773842,X1,47
0.01917146710036388,-0.0012926086783409119,0.003572139073603986,0.05666908474994359,X1,48
0.014486375634256254,-0.0030928142368793488,-0.020801861668458765,0.002948175800435715,X1,49
0.019167450734694835,-0.0020589828491210938,0.015194256661001049,0.051376789625865005,X1,50
0.030604122693519753,0.0008574798703193665,0.014707707033383977,0.11561847726347185,X1,51
0.02398068140171261,-0.0025344453752040863,0.011006262228807961,0.08196829498258995,X1,52
0.027186482801322187,0.0009544752538204193,0.015945200023228634,0.07704697180260478,X1,53
0.03563710937476716,-0.0018114522099494934,-0.0013415949071801103,0.06708898443778111,X1,54
0.03721577068084103,-0.0029797442257404327,0.002464830829845166,0.08647999900450554,X1,55
0.029180563490480704,-0.0006236210465431213,0.010086090958466132,0.08859993552472267,X1,56
0.013875704015257173,0.0017453394830226898,-0.0007187604133221948,0.0032772391967081926,X1,57
0.0033149607273270654,-0.0009364858269691467,0.012065082272684435,0.006981074997723713,X1,58
0.0004661077607504005,-0.004390638321638107,0.023666745297558966,0.005862169846688525,X1,59
0.000540615418313739,-0.005758292973041534,0.017931157857121294,0.01500659987445685,X1,60
0.024641220432473854,-0.0033989064395427704,0.006861421074738083,0.07475055273014375,X1,61
0.02302159588898889,-3.8839876651763916e-05,0.01483409749361364,0.07076419078811491,X1,62
0.018348903481921752,0.0001202709972858429,0.022811299591558254,0.07756210820290832,X1,63
0.03833767615302375,-0.0032504722476005554,-0.0009412283772918251,0.08818633774049145,X1,64
0.028813447449205665,-0.0016834400594234467,-0.0054858598519732515,0.039699419742917685,X1,65
0.03270124551077258,-0.0011282861232757568,0.007498352106785511,0.09559867948618317,X1,66
0.027066502347293686,-0.002054128795862198,0.0010254833925008588,0.046075857483113936,X1,67
0.0027573566855119136,0.0002368353307247162,0.006380136586971008,0.03988098946241703,X1,68
0.027409505871895057,-0.002405058592557907,0.008696723837377851,0.06752111502070002,X1,69
0.015916267969518727,0.002909507602453232,0.032724828770361314,0.06607624753369956,X1,70
0.026465107410667432,-0.0017936937510967255,0.004518896456831012,0.07704399355307134,X1,71
0.0036336872544373566,-0.00496445968747139,0.0041968678446695495,0.007767138892924574,X1,72
0.031076176368831088,0.0004650689661502838,-0.024322857418775712,0.03427244477887226,X1,73
0.010771878885486252,0.0008488297462463379,0.007782714471598173,0.024321355736403705,X1,74
0.02119475002017135,0.0015740133821964264,0.00022021532455274162,0.051145572746676304,X1,75
-0.0028620331349412664,-0.0022752396762371063,-0.019533870273726328,-0.006300515151287156,X1,76
0.01051968927039415,-0.0052848272025585175,-0.01717295742162861,-0.014824001344860172,X1,77
0.006999290996754004,-0.0012732967734336853,0.011861209300991216,0.07876681711233502,X1,78
0.017604300342698997,-0.005139395594596863,0.030269764561848822,0.09015852260425095,X1,79
0.04380673013983538,-0.004154011607170105,0.009239026501966063,0.10024787489447817,X1,80
-0.0008856160725102535,-0.0015789642930030823,-0.0004245694527603705,0.0009234556659603044,X1,81
0.028872931325423568,-0.0005515292286872864,0.0052194397792509895,0.05062445158954909,X1,82
0.024714521596545413,-0.0006472542881965637,0.02026219138290042,0.06153202398155244,X1,83
0.009935194321462948,-0.004470653831958771,-0.010699190625209742,0.024058165956059696,X1,84
0.02569395434795918,-0.0012087300419807434,-0.007451463066390995,0.046706353141848345,X1,85
0.036826564714565135,0.0011513754725456238,0.03324501676335723,0.14076498984060715,X1,86
0.01821856222887308,-0.001756671816110611,0.009229140310844874,0.04526508299060539,X1,87
0.010221944401822447,-0.00171554833650589,0.003669150646198993,0.018412213261615573,X1,88
0.010537813907098736,-0.003151189535856247,0.023427949641175783,0.046960400317626494,X1,89
-0.004939314792605676,0.004169579595327377,0.003212760180155372,-0.0077592629032954274,X1,90
0.009791956897322818,-3.532320261001587e-05,0.04236765801624787,0.06992141090868853,X1,91
0.02862847208053776,0.0016310885548591614,0.005465005009544055,0.0778437307298292,X1,92
0.03555999915520658,-0.00040188059210777283,0.009797841478834335,0.08355454909072102,X1,93
0.013251742113639553,0.00079360231757164,-0.002572838105826869,0.02886939957555046,X1,94
0.020756152792965388,-0.006355855613946915,0.005758523369956636,0.06721461796832684,X1,95
0.013279007473313675,-0.00183124840259552,-0.019637276459586017,-0.008287498722691744,X1,96
0.010778670301824556,-0.003683891147375107,0.0072079970162558515,0.029159411052144923,X1,97
0.015142161986045899,-0.0019440054893493652,0.00886746044457487,0.04761973385248708,X1,98
0.005988479001245217,0.0012710094451904297,0.01866399788609263,0.0652017919150083,X1,99
0.012034638154322264,-0.000990297645330429,0.0042004339888286335,0.03417329406723524,X2,0
0.016950612607538162,-0.0024646110832691193,0.03268992825939965,0.07473060894587347,X2,1
0.022669397129732816,0.0006185322999954224,0.018298188526113868,0.0780020353530051,X2,2
0.0091425622626502,0.00024405494332313538,0.017644315449161563,0.04667034704382189,X2,3
0.02614175641251748,7.962062954902649e-05,0.011710641294042645,0.062372611556589685,X2,4
0.031138942004799608,0.00243329256772995,0.019021326658558713,0.11885891325212339,X2,5
0.02316878001304956,-0.0037051327526569366,0.021799190270085367,0.09885205804842712,X2,6
0.032561177448501955,0.0011752285063266754,-0.0017620033062895057,0.0628513521707017,X2,7
0.016626182545206758,0.0005924291908740997,0.0016161201144536674,0.0616301620530304,X2,8
-0.0015351495859380337,0.0003181956708431244,-0.0009614755831218735,0.012862666891447772,X2,9
0.03096352280380954,-0.0019589923322200775,-0.01585273678676835,0.02140649410160478,X2,10
0.02590295617060856,7.64206051826477e-05,0.040392183994804376,0.09964137672093654,X2,11
0.019108755670622535,-0.0021219365298748016,0.046251403285794024,0.09946255890248645,X2,12
0.037167701166293865,-0.005894891917705536,0.02186393143547627,0.14113081403043215,X2,13
0.030278564889102855,-0.006752297282218933,0.0302526470083907,0.12195918127814931,X2,14
0.02424952983309292,-0.0021508559584617615,0.03657824523403963,0.10945817589851159,X2,15
0.008886417159297388,-0.0008233003318309784,0.014057561663041396,0.06907002434536347,X2,16
0.020746057919324157,-0.0010639019310474396,0.027743550862093902,0.08629897672647147,X2,17
0.03845901256814532,-0.0025966763496398926,0.0020644919422284636,0.09769945500546084,X2,18
0.005924400178282108,-0.0009153075516223907,0.03646455405089266,0.060232590281360965,X2,19
-0.004098546234131639,-0.0012570694088935852,0.017522417080255592,0.013226011240233149,X2,20
0.021963625456374092,-0.0037581510841846466,0.008983231275042525,0.05464925554988498,X2,21
0.021550041137093245,-0.005696877837181091,0.02519648303724309,0.08545332509975556,X2,22
0.03983652106381985,0.0026269927620887756,-0.0050327941893753,0.06694656189201509,X2,23
0.027754462246666778,-0.0015196911990642548,0.017307416975683054,0.08686393887402954,X2,24
0.010139523524150151,0.0019358880817890167,0.004531626897533836,0.029324285948258755,X2,25
-0.0030816824025114986,-0.00580611452460289,0.004995639065978996,0.00798240289113683,X2,26
0.02222654645334543,0.0010633617639541626,0.013689639799797093,0.0796377561212076,X2,27
0.008317432930266766,-0.005318395793437958,0.02017352424360319,0.05490905354135678,X2,28
0.03825476015831941,-0.0023676231503486633,0.03756904130956118,0.1482820786264556,X2,29
